trace_id,channel,Delta_I,Ep,Ah,FWHM
mb_example,mb,0.1895653164556962,-0.236,0.050102987341772154,0.08805174474244387
l012_example,l012,0.21776911764705875,0.572,0.028430158823529398,0.09729020461072568
